year,geography,ethnic_group,median_income,income_gap_from_white,income_gap_from_white_percent
2000,DVRPC Region,Black or african american,57836,44090,0.433
2000,NJ Counties Subregion,Black or african american,75123,31643,0.296
2000,PA Suburban Counties Subregion,Black or african american,71429,40405,0.361
2000,Philadelphia County Subregion,Black or african american,48236,19974,0.293
2005,DVRPC Region,Black or african american,50480,50362,0.499
2005,NJ Counties Subregion,Black or african american,67457,39485,0.369
2005,PA Suburban Counties Subregion,Black or african american,62559,45672,0.422
2005,Philadelphia County Subregion,Black or african american,39781,28667,0.419
2006,DVRPC Region,Black or african american,51959,48328,0.482
2006,NJ Counties Subregion,Black or african american,70186,34480,0.329
2006,PA Suburban Counties Subregion,Black or african american,64488,44691,0.409
2006,Philadelphia County Subregion,Black or african american,40612,25605,0.387
2007,DVRPC Region,Black or african american,54408,48673,0.472
2007,NJ Counties Subregion,Black or african american,70828,38353,0.351
2007,PA Suburban Counties Subregion,Black or african american,64612,46324,0.418
2007,Philadelphia County Subregion,Black or african american,44527,24755,0.357
2008,DVRPC Region,Black or african american,53251,52151,0.495
2008,NJ Counties Subregion,Black or african american,69905,40874,0.369
2008,PA Suburban Counties Subregion,Black or african american,64731,49308,0.432
2008,Philadelphia County Subregion,Black or african american,42873,27571,0.391
2009,DVRPC Region,Black or african american,52317,49640,0.487
2009,NJ Counties Subregion,Black or african american,67695,40073,0.372
2009,PA Suburban Counties Subregion,Black or african american,65049,44503,0.406
2009,Philadelphia County Subregion,Black or african american,42060,27361,0.394
2010,DVRPC Region,Black or african american,50708,47874,0.486
2010,NJ Counties Subregion,Black or african american,70201,33090,0.32
2010,PA Suburban Counties Subregion,Black or african american,65624,41155,0.385
2010,Philadelphia County Subregion,Black or african american,38237,26147,0.406
2011,DVRPC Region,Black or african american,47810,49037,0.506
2011,NJ Counties Subregion,Black or african american,63305,40995,0.393
2011,PA Suburban Counties Subregion,Black or african american,60735,42520,0.412
2011,Philadelphia County Subregion,Black or african american,37470,26155,0.411
2012,DVRPC Region,Black or african american,47220,50536,0.517
2012,NJ Counties Subregion,Black or african american,62373,40346,0.393
2012,PA Suburban Counties Subregion,Black or african american,59771,44948,0.429
2012,Philadelphia County Subregion,Black or african american,37112,30082,0.448
2013,DVRPC Region,Black or african american,48746,47874,0.495
2013,NJ Counties Subregion,Black or african american,62614,37278,0.373
2013,PA Suburban Counties Subregion,Black or african american,60428,43559,0.419
2013,Philadelphia County Subregion,Black or african american,39425,28116,0.416
2014,DVRPC Region,Black or african american,49003,50640,0.508
2014,NJ Counties Subregion,Black or african american,65300,40366,0.382
2014,PA Suburban Counties Subregion,Black or african american,59525,46028,0.436
2014,Philadelphia County Subregion,Black or african american,39071,31253,0.444
2015,DVRPC Region,Black or african american,49883,53845,0.519
2015,NJ Counties Subregion,Black or african american,62992,42495,0.403
2015,PA Suburban Counties Subregion,Black or african american,62419,48341,0.436
2015,Philadelphia County Subregion,Black or african american,40489,37375,0.48
2016,DVRPC Region,Black or african american,50577,52458,0.509
2016,NJ Counties Subregion,Black or african american,64406,41342,0.391
2016,PA Suburban Counties Subregion,Black or african american,64079,46208,0.419
2016,Philadelphia County Subregion,Black or african american,40418,34476,0.46
2017,DVRPC Region,Black or african american,53433,51035,0.489
2017,NJ Counties Subregion,Black or african american,65286,46078,0.414
2017,PA Suburban Counties Subregion,Black or african american,67795,45878,0.404
2017,Philadelphia County Subregion,Black or african american,,,
2018,DVRPC Region,Black or african american,52369,53134,0.504
2018,NJ Counties Subregion,Black or african american,64755,42527,0.396
2018,PA Suburban Counties Subregion,Black or african american,70091,42730,0.379
2018,Philadelphia County Subregion,Black or african american,41113,37946,0.48
2019,DVRPC Region,Black or african american,54268,54730,0.502
2019,NJ Counties Subregion,Black or african american,68489,43220,0.387
2019,PA Suburban Counties Subregion,Black or african american,67572,47920,0.415
2019,Philadelphia County Subregion,Black or african american,43760,39971,0.477
2021,DVRPC Region,Black or african american,53495,56881,0.515
2021,NJ Counties Subregion,Black or african american,73783,35661,0.326
2021,PA Suburban Counties Subregion,Black or african american,60162,57677,0.489
2021,Philadelphia County Subregion,Black or african american,43094,45691,0.515
2022,DVRPC Region,Black or african american,53728,52501,0.494
2022,NJ Counties Subregion,Black or african american,67912,37304,0.355
